                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.7706,                 2.7497,                 1.7404,                0.17971,                0.19599,                0.10719,                0.02473,                 3.4421,                    inf,                 2.3358,                 0.0901,                 0.0011,                 0.0011
                      2,                 2.5494,                 1.4443,                 1.3645,                0.04759,                0.17194,                0.02778,                0.00699,                 3.6995,                    inf,                 3.8265,               0.079292,              0.0022924,              0.0022924
                      3,                 2.3683,                  1.385,                 1.3556,                0.01155,                0.05131,                0.00829,                0.00199,                 3.9638,                    inf,                 3.7597,               0.068477,              0.0034769,              0.0034769
                      4,                 2.2571,                 1.2994,                 1.3219,                0.08347,                0.22959,                0.05005,                0.01323,                 3.8258,                    inf,                 2.9638,               0.057653,              0.0046535,              0.0046535
                      5,                 2.3386,                 1.2807,                 1.3294,                0.02841,                0.10716,                0.01481,                 0.0035,                 4.1531,                    inf,                 5.7225,               0.046822,              0.0058221,              0.0058221
                      6,                 2.2763,                   1.24,                  1.281,                0.01658,                0.07363,                0.00891,                 0.0023,                 4.2722,                 8.5853,                 14.626,               0.035983,              0.0069829,              0.0069829
                      7,                  2.298,                 1.2677,                 1.3448,                0.00746,                0.03313,                0.00385,                0.00093,                 3.7245,                    inf,                  4.298,               0.025136,              0.0081357,              0.0081357
                      8,                 2.2172,                 1.1911,                 1.2614,                 0.0082,                0.03642,                0.00425,                0.00115,                 3.5527,                    inf,                 2.6547,               0.014281,              0.0092806,              0.0092806
                      9,                 2.1808,                 1.2136,                 1.2739,                0.06873,                0.30526,                 0.0461,                0.01474,                 2.9562,                 3.1965,                  1.542,               0.009736,               0.009736,               0.009736
                     10,                 2.3031,                 1.2021,                 1.2698,                0.05952,                0.26437,                 0.0472,                0.01535,                 2.9456,                 4.3228,                 1.5208,               0.009703,               0.009703,               0.009703
                     11,                 2.2542,                 1.2233,                 1.2819,                0.19504,                0.26148,                0.13307,                0.03751,                 2.9731,                 3.4089,                 1.5208,                0.00967,                0.00967,                0.00967
                     12,                 2.2556,                 1.1483,                 1.2579,                0.22722,                0.27655,                 0.1528,                0.04169,                  2.888,                 3.3868,                  1.446,               0.009637,               0.009637,               0.009637
                     13,                 2.1229,                 1.1059,                 1.2456,                  0.411,                0.32579,                0.26394,                0.06239,                  2.982,                 1.9591,                 1.5746,               0.009604,               0.009604,               0.009604
                     14,                 2.1612,                  1.126,                 1.2482,                0.36168,                0.26469,                0.20185,                0.04406,                 3.2389,                 1.5478,                 1.8408,               0.009571,               0.009571,               0.009571
                     15,                 2.1774,                 1.1478,                 1.2879,                0.44339,                0.31529,                 0.2761,                 0.0628,                 3.0553,                 1.4474,                  1.697,               0.009538,               0.009538,               0.009538
                     16,                 2.1185,                 1.0939,                 1.2245,                0.45919,                0.37764,                0.32782,                0.08077,                 3.0226,                 1.5082,                 1.6337,               0.009505,               0.009505,               0.009505
                     17,                 2.1068,                 1.0918,                 1.2433,                0.47258,                0.40921,                0.33628,                0.09019,                 2.9275,                 1.4382,                 1.5517,               0.009472,               0.009472,               0.009472
                     18,                 2.1543,                 1.0811,                 1.2299,                0.48166,                0.38289,                0.32131,                0.07879,                 2.8145,                 1.4193,                 1.4849,               0.009439,               0.009439,               0.009439
                     19,                 2.0189,                 1.0357,                 1.2209,                 0.5351,                0.40968,                 0.3901,                0.10266,                 2.7437,                 1.4208,                 1.4576,               0.009406,               0.009406,               0.009406
                     20,                 2.0832,                 1.0579,                 1.2141,                0.43202,                0.40553,                0.31454,                0.08155,                 2.7421,                 1.4725,                  1.401,               0.009373,               0.009373,               0.009373
                     21,                  2.115,                 1.0786,                 1.2124,                0.54426,                0.47738,                0.45387,                0.12947,                 2.5599,                 1.3056,                 1.3006,                0.00934,                0.00934,                0.00934
                     22,                 2.0835,                 1.0509,                 1.1849,                0.47397,                 0.3413,                 0.3008,                0.06943,                 2.9627,                 1.4681,                  1.498,               0.009307,               0.009307,               0.009307
                     23,                 2.0902,                 1.0661,                 1.2356,                0.60046,                0.44799,                0.45543,                0.13064,                 2.5706,                 1.2795,                 1.3073,               0.009274,               0.009274,               0.009274
                     24,                 2.0574,                 1.0465,                 1.2207,                0.43827,                0.40655,                0.32743,                0.07331,                 2.8983,                 1.5452,                 1.4894,               0.009241,               0.009241,               0.009241
                     25,                  2.026,                 1.0358,                 1.1965,                0.57295,                0.51473,                0.47377,                0.12914,                 2.6076,                 1.4717,                 1.3242,               0.009208,               0.009208,               0.009208
                     26,                 2.1017,                 1.0302,                  1.224,                0.44542,                0.35094,                0.29849,                0.06582,                  3.032,                 1.6578,                 1.5138,               0.009175,               0.009175,               0.009175
                     27,                 2.0699,                  1.069,                 1.2112,                0.54731,                0.43694,                0.41254,                0.11451,                 2.7066,                 1.4055,                 1.3899,               0.009142,               0.009142,               0.009142
                     28,                 2.0971,                 1.0286,                 1.2134,                0.54807,                0.40114,                0.36124,                0.08491,                 2.9778,                 1.3969,                 1.5205,               0.009109,               0.009109,               0.009109
                     29,                 2.0591,                0.99668,                 1.2053,                0.66024,                0.53423,                0.54295,                 0.1643,                 2.4777,                 1.3404,                  1.301,               0.009076,               0.009076,               0.009076
