                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.9171,                 3.4673,                 1.9136,                0.05986,                0.23257,                0.05472,                0.01858,                 2.9524,                 3.2991,                 1.4999,                0.00022,                0.00022,                0.00022
                      2,                 2.5391,                 2.2057,                 1.3265,                0.36428,                0.23578,                0.20848,                0.05799,                  3.023,                 2.1461,                 1.4232,             0.00045848,             0.00045848,             0.00045848
                      3,                 2.3998,                 1.7095,                 1.2539,                0.20727,                0.24628,                0.12618,                0.02627,                  3.517,                 1.7679,                 1.7804,             0.00069538,             0.00069538,             0.00069538
                      4,                 2.2911,                 1.4572,                 1.2272,                0.40592,                0.49084,                0.39203,                0.11755,                 2.6888,                  1.748,                 1.3481,             0.00093069,             0.00093069,             0.00093069
                      5,                 2.3494,                 1.3581,                 1.2102,                0.43158,                0.41712,                0.37467,                0.12023,                 2.5855,                 1.6916,                 1.2799,              0.0011644,              0.0011644,              0.0011644
                      6,                  2.271,                 1.2506,                 1.1844,                0.34019,                0.43624,                0.27556,                0.08621,                 2.5848,                  1.599,                 1.2681,              0.0013966,              0.0013966,              0.0013966
                      7,                 2.2481,                 1.2264,                 1.2229,                0.19679,                0.39676,                0.13081,                0.04055,                  2.722,                 2.7657,                 1.3027,              0.0016271,              0.0016271,              0.0016271
                      8,                 2.1384,                 1.1717,                  1.175,                0.43084,                0.38749,                0.33819,                0.11068,                 2.5589,                 1.5865,                 1.2017,              0.0018561,              0.0018561,              0.0018561
                      9,                 2.0989,                  1.099,                 1.1763,                 0.5279,                0.45714,                0.40887,                0.13315,                 2.4495,                 1.5279,                 1.2489,              0.0019472,              0.0019472,              0.0019472
                     10,                 2.1175,                  1.038,                  1.162,                0.49007,                0.40374,                 0.3737,                0.10972,                 2.6588,                 1.6258,                 1.2658,              0.0019406,              0.0019406,              0.0019406
                     11,                 2.0969,                 1.0403,                 1.1806,                0.34422,                0.48888,                0.35682,                0.11492,                 2.3985,                 1.5613,                 1.1621,               0.001934,               0.001934,               0.001934
                     12,                 2.1202,                 1.0334,                 1.1671,                0.42931,                0.35414,                0.35738,                0.12208,                 2.3222,                 1.4975,                 1.1378,              0.0019274,              0.0019274,              0.0019274
                     13,                 2.0212,                0.97812,                 1.1668,                0.47235,                0.46459,                 0.4026,                 0.1294,                  2.338,                 1.4133,                  1.167,              0.0019208,              0.0019208,              0.0019208
                     14,                 2.0512,                0.99918,                 1.1729,                0.57254,                0.47909,                0.45832,                0.16915,                 2.2053,                 1.2621,                 1.1414,              0.0019142,              0.0019142,              0.0019142
                     15,                 1.9753,                0.95357,                 1.1698,                0.48811,                0.44407,                0.40502,                0.13179,                 2.4998,                 1.2347,                 1.2896,              0.0019076,              0.0019076,              0.0019076
                     16,                 1.9538,                0.95135,                 1.1428,                0.52604,                 0.4935,                0.44026,                0.13711,                 2.4631,                 1.2213,                 1.2547,               0.001901,               0.001901,               0.001901
                     17,                 1.9487,                0.94905,                 1.1562,                0.53606,                0.53302,                0.46856,                0.18324,                 2.0662,                 1.1586,                 1.1139,              0.0018944,              0.0018944,              0.0018944
                     18,                  1.981,                0.91667,                  1.148,                 0.5749,                0.48849,                 0.4886,                0.20147,                 2.0326,                 1.1072,                 1.1127,              0.0018878,              0.0018878,              0.0018878
                     19,                 1.8757,                0.90637,                 1.1419,                0.61459,                0.48266,                0.48188,                0.15575,                 2.4036,                 1.2095,                 1.2361,              0.0018812,              0.0018812,              0.0018812
                     20,                 1.9849,                0.95594,                 1.1588,                0.65143,                0.55115,                0.57116,                 0.2162,                 2.1021,                 1.1387,                  1.119,              0.0018746,              0.0018746,              0.0018746
                     21,                 1.9634,                0.94875,                 1.1373,                0.66136,                  0.547,                0.56939,                0.25166,                 1.9562,                  1.078,                   1.09,               0.001868,               0.001868,               0.001868
                     22,                 1.8953,                0.89423,                 1.1132,                0.68977,                0.52044,                0.56145,                0.22461,                 2.0802,                 1.1026,                 1.1226,              0.0018614,              0.0018614,              0.0018614
                     23,                 1.8961,                0.92348,                 1.1456,                  0.674,                0.52229,                0.54001,                0.20965,                 2.0955,                0.99379,                 1.1157,              0.0018548,              0.0018548,              0.0018548
                     24,                 1.9007,                0.92583,                 1.1521,                0.56758,                 0.5361,                0.48905,                0.17878,                 2.3222,                  1.097,                 1.2193,              0.0018482,              0.0018482,              0.0018482
                     25,                 1.8935,                0.92695,                 1.1287,                0.71144,                0.57363,                0.61266,                0.22802,                 2.1648,                 1.1379,                  1.152,              0.0018416,              0.0018416,              0.0018416
                     26,                 1.9467,                0.93212,                 1.1527,                 0.6138,                 0.5336,                0.54149,                 0.2117,                 2.0765,                 1.1401,                 1.1221,               0.001835,               0.001835,               0.001835
                     27,                 1.9027,                0.92522,                 1.1369,                0.67005,                0.59055,                0.60538,                0.24717,                 2.0289,                  1.092,                 1.1029,              0.0018284,              0.0018284,              0.0018284
                     28,                 1.8793,                0.87307,                 1.1237,                0.72048,                 0.6015,                0.65413,                0.27366,                 1.9881,                0.99187,                 1.1014,              0.0018218,              0.0018218,              0.0018218
                     29,                 1.8797,                0.87545,                 1.1263,                 0.7489,                0.58174,                0.64877,                0.27843,                 1.9082,                 1.0118,                 1.0685,              0.0018152,              0.0018152,              0.0018152
                     30,                 1.8713,                0.88016,                 1.1305,                0.73764,                0.58577,                0.63341,                0.23472,                 2.1897,                 1.0187,                  1.153,              0.0018086,              0.0018086,              0.0018086
                     31,                 1.8996,                0.88491,                 1.1315,                0.66813,                0.58335,                0.58627,                0.20593,                 2.1878,                 1.0347,                 1.1492,               0.001802,               0.001802,               0.001802
                     32,                 1.8907,                0.87021,                 1.1256,                0.72907,                0.63152,                0.67935,                0.29912,                 1.8984,                 0.9802,                 1.0697,              0.0017954,              0.0017954,              0.0017954
                     33,                  1.824,                0.83812,                 1.1145,                0.70678,                0.60371,                0.63583,                0.22971,                 2.1938,                 1.0311,                 1.1435,              0.0017888,              0.0017888,              0.0017888
                     34,                 1.7898,                0.84209,                 1.0937,                0.75639,                 0.6157,                0.66397,                0.26244,                 2.1383,                0.95775,                 1.1478,              0.0017822,              0.0017822,              0.0017822
                     35,                 1.8761,                0.83762,                 1.1077,                0.72468,                0.57483,                 0.6277,                0.29441,                  1.811,                  1.012,                 1.0521,              0.0017756,              0.0017756,              0.0017756
                     36,                 1.8594,                0.83351,                 1.1207,                0.65546,                0.56316,                0.60366,                0.25849,                 1.9903,                 1.1054,                 1.1068,               0.001769,               0.001769,               0.001769
                     37,                 1.9288,                0.87618,                  1.137,                0.65998,                0.55687,                 0.6169,                0.28484,                 1.8558,                 1.0895,                 1.0663,              0.0017624,              0.0017624,              0.0017624
                     38,                 1.8477,                0.83591,                 1.1105,                0.67935,                0.56823,                0.61384,                0.27624,                 1.8545,                 1.1116,                 1.0626,              0.0017558,              0.0017558,              0.0017558
                     39,                 1.8314,                0.85764,                 1.1101,                0.67144,                0.57316,                0.61983,                0.27652,                 1.8645,                  0.993,                 1.0767,              0.0017492,              0.0017492,              0.0017492
                     40,                 1.9065,                0.86914,                 1.1297,                0.70455,                0.61325,                0.65606,                0.27772,                 1.9418,                 1.0166,                  1.099,              0.0017426,              0.0017426,              0.0017426
                     41,                 1.9135,                0.83946,                 1.1158,                  0.682,                0.55875,                0.62479,                0.28724,                 1.8541,                  1.006,                 1.0628,               0.001736,               0.001736,               0.001736
                     42,                  1.898,                 0.8628,                 1.1108,                0.64136,                0.57708,                0.61444,                0.25899,                 1.9267,                 1.0188,                 1.0774,              0.0017294,              0.0017294,              0.0017294
                     43,                 1.8824,                0.84857,                 1.1107,                0.65833,                 0.6193,                0.65938,                0.31095,                 1.8325,                0.92443,                 1.0551,              0.0017228,              0.0017228,              0.0017228
                     44,                  1.829,                0.83457,                 1.0953,                0.73046,                0.62708,                0.64324,                0.24448,                 2.0636,                0.96461,                 1.1175,              0.0017162,              0.0017162,              0.0017162
                     45,                 1.8536,                 0.8422,                 1.1209,                0.74145,                0.60653,                0.66387,                0.26291,                 2.0764,                0.95649,                 1.1202,              0.0017096,              0.0017096,              0.0017096
                     46,                  1.797,                0.83886,                 1.0998,                0.74376,                 0.6533,                0.70803,                0.30161,                 1.9516,                0.89748,                 1.0893,               0.001703,               0.001703,               0.001703
                     47,                 1.8234,                0.81812,                 1.1152,                0.77313,                0.60945,                0.67819,                0.31057,                 1.8297,                0.94974,                 1.0498,              0.0016964,              0.0016964,              0.0016964
                     48,                   1.82,                0.81977,                 1.1157,                0.75681,                0.62228,                0.69487,                0.33235,                 1.7753,                 0.9375,                 1.0491,              0.0016898,              0.0016898,              0.0016898
                     49,                 1.8114,                 0.8177,                 1.1028,                0.72073,                0.63053,                0.68214,                0.31396,                 1.7834,                  0.914,                 1.0391,              0.0016832,              0.0016832,              0.0016832
                     50,                 1.7958,                0.81401,                 1.0829,                0.73463,                0.64092,                0.66906,                0.28487,                 1.9088,                 0.9239,                 1.0704,              0.0016766,              0.0016766,              0.0016766
                     51,                  1.807,                0.79573,                 1.0871,                0.72957,                0.63166,                0.66716,                0.27841,                  1.976,                 0.9612,                 1.0965,                0.00167,                0.00167,                0.00167
                     52,                 1.7992,                0.81883,                 1.1017,                  0.725,                0.64296,                0.65648,                0.28781,                 1.8625,                0.94224,                  1.064,              0.0016634,              0.0016634,              0.0016634
                     53,                 1.7422,                 0.7866,                 1.0914,                0.73782,                0.64899,                0.66458,                0.29288,                 1.9227,                0.93925,                 1.0876,              0.0016568,              0.0016568,              0.0016568
                     54,                 1.7862,                0.83138,                  1.096,                0.68748,                0.61531,                0.63457,                0.26785,                 1.9531,                0.97831,                 1.0723,              0.0016502,              0.0016502,              0.0016502
                     55,                 1.8067,                0.81459,                 1.0936,                0.67517,                 0.6254,                0.59579,                0.27096,                 1.8217,                0.99697,                 1.0409,              0.0016436,              0.0016436,              0.0016436
                     56,                 1.8009,                0.82539,                 1.1025,                0.67935,                0.61356,                0.59851,                0.24467,                 2.0389,                 1.0358,                 1.1119,               0.001637,               0.001637,               0.001637
                     57,                 1.8903,                0.83604,                 1.1052,                0.71379,                0.63967,                0.68199,                0.30576,                 1.8445,                0.98801,                  1.064,              0.0016304,              0.0016304,              0.0016304
                     58,                  1.785,                0.82158,                 1.0946,                  0.741,                0.64311,                0.68132,                0.29856,                 1.8574,                0.98287,                 1.0567,              0.0016238,              0.0016238,              0.0016238
                     59,                 1.8144,                0.80145,                 1.0653,                0.74749,                0.64648,                0.70086,                0.32169,                 1.8423,                0.88396,                 1.0513,              0.0016172,              0.0016172,              0.0016172
                     60,                 1.7915,                0.81124,                 1.1146,                0.76448,                 0.5958,                0.66846,                0.25211,                 2.2025,                0.95834,                 1.1761,              0.0016106,              0.0016106,              0.0016106
                     61,                 1.7865,                0.79608,                 1.0782,                0.78642,                0.64954,                0.72248,                0.32522,                 1.8191,                0.85645,                 1.0531,               0.001604,               0.001604,               0.001604
