                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.0335,                 3.5034,                 2.0209,                 0.0528,                0.23453,                0.03309,                 0.0152,                 2.2101,                  3.198,                 1.2877,                 0.0901,                 0.0011,                 0.0011
                      2,                 2.5069,                 2.5447,                 1.5032,                0.08651,                0.38422,                0.09782,                 0.0244,                 2.9335,                 2.4733,                 1.5451,               0.079292,              0.0022924,              0.0022924
                      3,                 2.2989,                  1.497,                 1.4271,                0.18137,                0.17453,                0.08959,                0.01696,                 3.4161,                 1.7809,                 1.9399,               0.068477,              0.0034769,              0.0034769
                      4,                 2.2277,                 1.2756,                  1.376,                0.25382,                0.38971,                0.28012,                0.06289,                 3.0087,                 1.7566,                 1.6109,               0.057653,              0.0046535,              0.0046535
                      5,                 2.2255,                 1.1874,                 1.3503,                0.43792,                0.25975,                0.24515,                0.05182,                 3.0966,                 1.6957,                 1.6651,               0.046822,              0.0058221,              0.0058221
                      6,                 2.2855,                 1.1693,                 1.3435,                0.21559,                0.17711,                0.11326,                0.02198,                  3.384,                  1.745,                 1.9412,               0.035983,              0.0069829,              0.0069829
                      7,                 2.2186,                 1.1316,                 1.3801,                0.42872,                0.38328,                0.32018,                0.07854,                 2.8503,                 1.6669,                   1.49,               0.025136,              0.0081357,              0.0081357
                      8,                 2.1903,                 1.0863,                 1.3048,                0.33212,                 0.4454,                0.24287,                0.07846,                 2.4149,                 1.6059,                 1.3297,               0.014281,              0.0092806,              0.0092806
                      9,                 2.1281,                 1.1103,                 1.3193,                0.29364,                0.35516,                0.22532,                0.05151,                 3.0046,                 1.4438,                 1.6329,               0.009736,               0.009736,               0.009736
                     10,                 2.2105,                   1.08,                 1.2988,                0.37816,                 0.4642,                0.32467,                0.10593,                 2.4178,                 1.3681,                 1.3055,               0.009703,               0.009703,               0.009703
                     11,                 2.0991,                 1.0509,                 1.2637,                0.45471,                0.44384,                0.41241,                  0.157,                 2.1836,                 1.2572,                 1.2093,                0.00967,                0.00967,                0.00967
